STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,EVAP,MDPR,PGTM,PRCP,RAIN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/1/2016,12.53,,,,,0,0,0,0,48,51,45,,30,30,,,21,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/2/2016,6.49,,,,,0,0,0,0,47,51,45,,10,360,,,14.1,16.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/3/2016,5.59,,,,,0.07,1,0,0,49,62,43,,310,310,,,12.1,16.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/4/2016,4.92,,,,,0,0,0,0,49,62,38,,30,20,,,10.1,14.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/5/2016,6.71,,,,,0,0,0,0,45,55,34,,80,80,,,14.1,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/6/2016,8.05,,,,,1.4,1,0,0,47,58,40,,360,10,,,19.9,25.1,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/7/2016,3.13,,,,,0.19,1,0,0,59,69,51,,300,150,,,17,23,1,1,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/8/2016,4.47,,,,,0.06,1,0,0,57,68,50,,90,90,,,13,15,1,1,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/9/2016,12.53,,,,,0,0,0,0,57,62,42,,310,330,,,25.1,36.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/10/2016,7.83,,,,,0,0,0,0,43,52,37,,320,330,,,19.9,23.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/11/2016,3.13,,,,,0,0,0,0,42,56,32,,140,140,,,8.9,12.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/12/2016,1.34,,,,,0,0,0,0,47,62,35,,190,220,,,6.9,12.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,1/13/2016,3.58,,,,,0,0,0,0,49,64,36,,140,150,,,12.1,15,1,,,,,,,,
